DEST,DEST_ENCONDED
ABQ,2
ABY,4
AEX,11
AGS,12
ALB,15
AMA,19
ANC,20
ASE,24
ATL,25
ATW,26
AUS,29
AVL,30
BDL,34
BFL,38
BGR,41
BHM,43
BIL,45
BNA,52
BOI,53
BOS,54
BQK,56
BTR,63
BUF,65
BUR,66
BZN,68
CAE,69
CHA,77
CHS,79
CID,80
CLE,83
CLT,85
CMH,86
COS,91
CRW,96
CSG,97
CVG,98
DAB,102
DAL,103
DAY,104
DEN,109
DFW,110
DHN,111
DLH,114
DRO,115
DSM,116
DTW,117
ECP,124
EGE,125
ELP,129
EVV,133
EWN,134
EWR,135
EYW,136
FAR,138
FAT,139
FAY,140
FCA,141
FLL,143
FLO,144
FSD,148
FWA,150
GEG,154
GNV,160
GPT,161
GRB,162
GRR,165
GSO,166
GSP,167
GTR,170
HDN,173
HHH,175
HNL,178
HOU,182
HSV,186
HTS,187
IAH,194
ICT,195
ILM,198
IND,200
JAC,208
JAN,209
JAX,210
JNU,216
KOA,218
LAS,223
LAX,225
LBB,226
LEX,233
LFT,234
LGB,236
LIT,238
LNK,239
LWS,245
LYH,246
MAF,247
MBS,250
MCI,251
MCO,254
MDW,257
MEM,259
MFE,260
MGM,262
MHK,264
MIA,266
MKE,267
MLB,271
MLI,272
MOB,274
MSL,278
MSN,279
MSP,281
MSY,283
MTJ,284
MYR,288
OAJ,289
OAK,290
OGG,292
OKC,294
OMA,296
ONT,298
ORD,299
ORF,300
PAH,306
PBI,308
PDX,310
PGD,312
PGV,313
PHX,316
PIA,317
PIE,319
PIT,322
PNS,325
PSP,333
PVD,337
PWM,339
RAP,340
RDU,343
RIC,346
RNO,350
ROA,351
RST,354
RSW,355
SAN,358
SAT,359
SAV,360
SBA,361
SBN,363
SDF,369
SEA,371
SFB,372
SFO,373
SGF,374
SHV,378
SJC,380
SJU,382
SLC,383
SMF,387
SNA,389
SRQ,394
STL,396
STT,398
STX,399
SUX,401
SYR,404
TLH,407
TPA,409
TRI,410
TUL,412
TUS,414
TVC,415
TXK,418
TYR,419
TYS,420
UIN,421
VLD,426
VPS,427
XNA,431
ABE,0
ATY,27
BIS,46
BPT,55
BRO,60
BTV,64
BWI,67
CHO,78
CLL,84
CMI,87
COU,92
CRP,95
CWA,100
DCA,106
EAR,121
EUG,132
FAI,137
FNT,146
GJT,158
GRI,163
GUC,171
HRL,184
IAD,192
IDA,196
JFK,212
LAN,221
LCH,230
LGA,235
LIH,237
LRD,242
LSE,243
MDT,256
MFR,261
MLU,273
MOT,275
MQT,276
MRY,277
MSO,280
OME,297
PHL,315
PIR,321
PSC,329
RDM,342
RUT,356
SAF,357
SBP,364
SGU,375
TBN,405
YKM,434
YUM,435
ABI,1
ABR,3
ACT,6
ACV,7
ADQ,10
ALO,16
ALW,18
AVP,31
AZO,33
BET,35
BFF,37
BIH,44
BJI,47
BLI,49
BMI,51
BQN,57
BRD,58
BRW,61
BTM,62
CAK,70
CDV,74
CIU,81
CKB,82
COD,90
CPR,93
CYS,101
DIK,112
EAT,122
EKO,126
ELM,128
ERI,130
FLG,142
FSM,149
GCC,151
GFK,155
GGG,156
GLH,159
GRK,164
GTF,169
HIB,176
HLN,177
HPN,183
IRK,203
ISP,204
ITH,205
ITO,206
JLN,214
JMS,215
JST,217
KTN,220
LAR,222
LAW,224
LBF,228
MCK,252
MEI,258
MHT,265
MWA,287
OTH,302
OTZ,303
PAE,305
PHF,314
PIB,318
PIH,320
PLN,324
PSG,331
PUB,334
PUW,335
RDD,341
RHI,345
RIW,347
RKS,349
ROC,352
SBY,365
SCE,367
SHR,377
SIT,379
SJT,381
SPS,393
STS,397
SUN,400
SWO,403
TUP,413
TWF,417
VCT,423
VEL,425
YAK,433
XWA,432
BGM,40
ACK,5
CGI,76
GCK,152
SPI,391
CMX,88
DUT,119
HOM,180
MKK,269
WRG,430
ART,23
ROW,353
AOO,21
APN,22
DUJ,118
SHD,376
DEC,108
ESC,131
GUM,172
HVR,189
IMT,199
OWB,304
PQI,327
SLN,386
SOW,390
VQS,428
ACY,8
BRL,59
DVL,120
ADK,9
AKN,14
CDC,72
CDR,73
CVN,99
DDC,107
DLG,113
GST,168
INL,201
KSM,219
SCC,366
SDY,370
SPN,392
HOB,179
AIA,13
AUG,28
BHB,42
BKW,48
CEZ,75
CNY,89
FOD,147
IPL,202
IWD,207
LBL,229
LEB,232
LNS,240
LWB,244
MAZ,248
MCW,255
MGW,263
MKG,268
MKL,270
MVY,286
ORH,301
PBG,307
PGA,311
PPG,326
PRC,328
PSE,330
RKD,348
SLK,385
TTN,411
AZA,32
HYS,191
ALS,17
HOT,181
HRO,185
MSS,282
PVU,338
TEX,406
CPX,94
RFD,344
STC,395
TOL,408
SBD,362
VRB,429
TVF,416
GDV,153
HYA,190
PKB,323
HVN,188
ILG,197
MBL,249
BFD,36
FNL,145
PVC,336
MCN,253
SLE,384
SWF,402
GGW,157
OGS,293
ELD,127
LNY,241
OLF,295
PDT,309
JBR,211
LBE,227
CDB,71
BLV,50
USA,422
LCK,231
VDZ,424
DBQ,105
EAU,123
SCK,368
SMX,388
JHM,213
BFM,39
IAG,193
PSM,332
HGR,174
OGD,291
MUE,285
