ORIGIN,ORIGIN_ENCONDED
ABE,0
ABI,1
ABQ,2
ABR,3
ABY,4
ACK,5
ACT,6
ACV,7
ACY,8
ADK,9
ADQ,10
AEX,11
AGS,12
AIA,13
AKN,14
ALB,15
ALO,16
ALS,17
ALW,18
AMA,19
ANC,20
AOO,21
APN,22
ART,23
ASE,24
ATL,25
ATW,26
ATY,27
AUG,28
AUS,29
AVL,30
AVP,31
AZA,32
AZO,33
BDL,34
BET,35
BFD,36
BFF,37
BFL,38
BFM,39
BGM,40
BGR,41
BHB,42
BHM,43
BIH,44
BIL,45
BIS,46
BJI,47
BKW,48
BLI,49
BLV,50
BMI,51
BNA,52
BOI,53
BOS,54
BPT,55
BQK,56
BQN,57
BRD,58
BRL,59
BRO,60
BRW,61
BTM,62
BTR,63
BTV,64
BUF,65
BUR,66
BWI,67
BZN,68
CAE,69
CAK,70
CDB,71
CDC,72
CDR,73
CDV,74
CEZ,75
CGI,76
CHA,77
CHO,78
CHS,79
CID,80
CIU,81
CKB,82
CLE,83
CLL,84
CLT,85
CMH,86
CMI,87
CMX,88
CNY,89
COD,90
COS,91
COU,92
CPR,93
CPX,94
CRP,95
CRW,96
CSG,97
CVG,98
CVN,99
CWA,100
CYS,101
DAB,102
DAL,103
DAY,104
DBQ,105
DCA,106
DDC,107
DEC,108
DEN,109
DFW,110
DHN,111
DIK,112
DLG,113
DLH,114
DRO,115
DSM,116
DTW,117
DUJ,118
DUT,119
DVL,120
EAR,121
EAT,122
EAU,123
ECP,124
EGE,125
EKO,126
ELD,127
ELM,128
ELP,129
ERI,130
ESC,131
EUG,132
EVV,133
EWN,134
EWR,135
EYW,136
FAI,137
FAR,138
FAT,139
FAY,140
FCA,141
FLG,142
FLL,143
FLO,144
FNL,145
FNT,146
FOD,147
FSD,148
FSM,149
FWA,150
GCC,151
GCK,152
GDV,153
GEG,154
GFK,155
GGG,156
GGW,157
GJT,158
GLH,159
GNV,160
GPT,161
GRB,162
GRI,163
GRK,164
GRR,165
GSO,166
GSP,167
GST,168
GTF,169
GTR,170
GUC,171
GUM,172
HDN,173
HGR,174
HHH,175
HIB,176
HLN,177
HNL,178
HOB,179
HOM,180
HOT,181
HOU,182
HPN,183
HRL,184
HRO,185
HSV,186
HTS,187
HVN,188
HVR,189
HYA,190
HYS,191
IAD,192
IAG,193
IAH,194
ICT,195
IDA,196
ILG,197
ILM,198
IMT,199
IND,200
INL,201
IPL,202
IRK,203
ISP,204
ITH,205
ITO,206
IWD,207
JAC,208
JAN,209
JAX,210
JBR,211
JFK,212
JHM,213
JLN,214
JMS,215
JNU,216
USA,420
JST,217
KOA,218
KTN,219
LAN,220
LAR,221
LAS,222
LAW,223
LAX,224
LBB,225
LBE,226
LBF,227
LBL,228
LCH,229
LCK,230
LEB,231
LEX,232
LFT,233
LGA,234
LGB,235
LIH,236
LIT,237
LNK,238
LNS,239
LNY,240
LRD,241
LSE,242
LWB,243
LWS,244
LYH,245
MAF,246
MAZ,247
MBL,248
MBS,249
MCI,250
MCK,251
MCO,252
MCW,253
MDT,254
MDW,255
MEI,256
MEM,257
MFE,258
MFR,259
MGM,260
MGW,261
MHK,262
MHT,263
MIA,264
MKE,265
MKG,266
MKK,267
MKL,268
MLB,269
MLI,270
MLU,271
MOB,272
MOT,273
MQT,274
MRY,275
MSL,276
MSN,277
MSO,278
MSP,279
MSS,280
MSY,281
MTJ,282
MUE,283
MVY,284
MWA,285
MYR,286
OAJ,287
OAK,288
OGD,289
OGG,290
OGS,291
OKC,292
OLF,293
OMA,294
OME,295
ONT,296
ORD,297
ORF,298
ORH,299
OTH,300
OTZ,301
OWB,302
PAE,303
PAH,304
PBG,305
PBI,306
PDT,307
PDX,308
PGA,309
PGD,310
PGV,311
PHF,312
PHL,313
PHX,314
PIA,315
PIB,316
PIE,317
PIH,318
PIR,319
PIT,320
PKB,321
PLN,322
PNS,323
PPG,324
PQI,325
PRC,326
PSC,327
PSE,328
PSG,329
PSM,330
PSP,331
PUB,332
PUW,333
PVC,334
PVD,335
PVU,336
PWM,337
RAP,338
RDD,339
RDM,340
RDU,341
RFD,342
RHI,343
RIC,344
RIW,345
RKD,346
RKS,347
RNO,348
ROA,349
ROC,350
ROW,351
RST,352
RSW,353
RUT,354
SAF,355
SAN,356
SAT,357
SAV,358
SBA,359
SBD,360
SBN,361
SBP,362
SBY,363
SCC,364
SCE,365
SCK,366
SDF,367
SDY,368
SEA,369
SFB,370
SFO,371
SGF,372
SGU,373
SHD,374
SHR,375
SHV,376
SIT,377
SJC,378
SJT,379
SJU,380
SLC,381
SLE,382
SLK,383
SLN,384
SMF,385
SMX,386
SNA,387
SOW,388
SPI,389
SPN,390
SPS,391
SRQ,392
STC,393
STL,394
STS,395
STT,396
STX,397
SUN,398
SUX,399
SWF,400
SWO,401
SYR,402
TBN,403
TEX,404
TLH,405
TOL,406
TPA,407
TRI,408
TTN,409
TUL,410
TUP,411
TUS,412
TVC,413
TVF,414
TWF,415
TXK,416
TYR,417
TYS,418
UIN,419
VCT,421
VDZ,422
VEL,423
VLD,424
VPS,425
VQS,426
VRB,427
WRG,428
XNA,429
YAK,431
YKM,432
YUM,433
XWA,430
